gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,1,1,0.915492958,1,1,0,1,1,1,1,1,1,0.897512438,0.814395338,0,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0.464788732,1,1,0,0,0,0,0,0,0,0.066666667,0.101027002,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,1,1,0,0,1,1,1,1,1,0.888059701,0.904096469,0,1,0,0,0,1,0,1,0,0,0
1,0,1,0,0.647887324,1,1,0,0,1,0,1,1,1,0.81840796,0.540999308,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0.830985915,1,1,0,1,0,0,1,0,1,0.712935323,0.626805908,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0.237313433,0.339626125,1,0,0,0,0,1,1,0,0,0,0
1,0,1,1,0.23943662,1,0,0,0,1,1,0,0,1,0.359701493,0.108273713,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0.112676056,1,1,0,0,0,0,1,1,0,0.757711443,0.096751673,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.028169014,1,0,0,1,0,1,1,1,1,0.567661692,0.025998154,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0.647887324,1,1,0,1,0,0,0,0,1,0.603482587,0.419057235,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0.422535211,1,0,0,1,1,1,1,1,0,0.606467662,0.28599123,1,0,0,0,0,1,0,0,0,1,0
1,0,1,1,0.690140845,1,0,0,0,0,0,0,0,0,0.018905473,0.105250404,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0.126760563,1,0,1,0,1,0,0,0,1,0.612935323,0.100225017,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.306467662,0.003490653,1,0,0,1,0,0,0,0,0,1,0
1,0,1,1,0.718309859,1,0,0,0,0,0,0,0,1,0.021393035,0.123684514,0,0,1,0,1,0,0,0,1,0,0
0,1,1,1,0.887323944,1,1,1,0,1,1,1,1,1,0.928855721,0.817009001,0,1,0,0,0,1,1,0,0,0,0
0,0,1,1,0.85915493,1,1,0,0,0,0,0,0,1,0.059701493,0.162220171,0,0,1,0,0,1,1,0,0,0,0
1,0,0,1,0.028169014,1,0,1,0,0,1,0,1,1,0.460199005,0.018301408,1,0,0,1,0,0,1,0,0,0,0
1,1,0,0,0.774647887,1,1,1,1,1,0,1,1,0,0.917910448,0.706288945,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0.633802817,1,0,0,0,0,0,0,1,0,0.372139303,0.308106393,1,0,0,0,1,0,0,1,0,0,0
1,0,1,1,0.098591549,1,0,1,1,0,0,0,0,0,0.362189055,0.053479114,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0.408450704,1,0,1,1,0,0,1,1,1,0.562189055,0.241460882,1,0,0,1,0,0,0,0,1,0,0
1,0,1,1,0.61971831,1,1,0,0,0,0,0,0,1,0.076119403,0.138218324,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1,0,1,0.607960199,0.006987076,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.14084507,0,0,1,0,0,0,1,1,0,0.321393035,0.063068313,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0.084507042,1,0,0,0,1,0,0,0,1,0.566169154,0.055169628,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0.577464789,1,0,0,1,1,1,1,1,1,0.851243781,0.497195938,0,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0.676056338,1,0,0,0,0,0,0,0,1,0.018905473,0.110148858,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0.112676056,1,1,0,1,0,0,1,1,1,0.806467662,0.103848373,0,1,0,1,0,0,0,1,0,0,0
1,0,1,0,0.478873239,1,0,1,0,0,0,1,0,1,0.43681592,0.253479114,1,0,0,0,1,0,1,0,0,0,0
1,0,1,1,0.661971831,1,0,0,0,0,0,0,0,0,0.023880597,0.119801523,0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,0.633802817,1,0,0,0,0,0,0,0,1,0.016915423,0.104811909,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0.394366197,0,0,0,0,0,0,1,0,0,0.154228856,0.114291484,1,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0.408450704,1,0,0,1,1,0,0,0,0,0.634825871,0.294414955,0,1,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.561691542,0.006450496,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,0.915492958,1,1,1,0,1,1,1,1,1,0.654228856,0.657217863,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0.901408451,1,1,1,1,1,0,1,1,1,0.923383085,0.817932149,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,1,1,1,0,1,1,0,1,1,1,0.82238806,0.858556427,0,1,0,0,0,1,1,0,0,0,0
1,0,0,0,0.154929577,1,1,1,0,0,0,0,0,1,0.6039801,0.104840757,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1,0.985915493,1,1,1,1,0,1,0,0,1,0.48358209,0.545799677,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0.056338028,1,0,0,0,0,0,0,0,0,0.027860697,0.010968151,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0.718309859,1,0,0,0,0,0,0,0,0,0.027363184,0.125594276,0,0,1,0,0,1,1,0,0,0,0
1,1,1,0,0.338028169,1,0,0,1,1,0,1,1,1,0.798507463,0.287987538,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.019402985,0.000161551,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.011940299,7.50E-05,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,0.521126761,1,1,0,0,1,1,1,0,0,0.763681592,0.413893376,0,1,0,0,1,0,1,0,0,0,0
1,1,1,0,0.915492958,0,0,0,1,1,0,1,0,0,0.271641791,0.34715555,1,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0.943661972,1,1,0,1,1,1,1,1,1,0.912935323,0.876188553,0,1,0,0,0,1,1,0,0,0,1
0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0.060199005,0.00939303,1,0,0,1,0,0,0,0,0,1,0
1,0,1,1,1,1,1,1,1,0,0,1,1,1,0.854726368,0.840555043,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0.436619718,0,0,1,0,0,0,0,0,0,0.11840796,0.104875375,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.591549296,1,1,0,0,0,0,1,1,0,0.75721393,0.450323102,0,1,0,0,1,0,0,0,0,1,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.011442786,0.15514078,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0.76056338,1,1,1,1,0,0,1,0,1,0.781094527,0.602365567,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.718309859,1,0,1,0,1,1,0,0,0,0.395024876,0.348886453,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0.591549296,1,0,0,1,1,0,1,0,1,0.730348259,0.454108008,0,1,0,1,0,0,0,0,1,0,0
1,1,1,0,0.507042254,1,1,0,0,0,0,0,0,1,0.57960199,0.328796446,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.887323944,0,0,0,1,0,1,1,1,1,0.361691542,0.392880222,1,0,0,0,0,1,0,0,1,0,0
0,0,1,1,0.028169014,1,0,1,1,0,0,1,0,0,0.712437811,0.026494346,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0,0.492957746,0,0,1,0,0,0,0,0,0,0.127363184,0.127804062,1,0,0,0,0,1,1,0,0,0,0
1,0,1,1,0.126760563,1,1,1,0,0,0,1,1,1,0.815920398,0.120684283,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.563380282,1,0,0,0,0,0,0,0,0,0.023880597,0.094201477,0,0,1,0,0,1,0,0,0,1,0
0,0,1,1,0.366197183,1,1,0,1,0,1,0,0,1,0.666169154,0.246111239,0,1,0,1,0,0,0,1,0,0,0
1,0,1,1,0.774647887,1,1,0,0,1,0,1,1,1,0.811442786,0.634277637,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0.070422535,1,0,0,0,0,0,0,0,0,0.024378109,0.010841219,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0.028169014,1,1,0,0,0,0,0,0,1,0.558706468,0.024319178,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.084507042,1,0,1,0,0,0,0,0,0,0.322885572,0.038258712,1,0,0,1,0,0,0,0,0,1,0
1,0,1,1,0.042253521,1,0,0,0,0,0,0,0,0,0.025870647,0.005088853,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0.450704225,1,0,1,0,0,1,1,0,1,0.703482587,0.347201708,0,1,0,0,0,1,0,0,1,0,0
1,1,0,0,0.366197183,1,1,0,0,1,0,0,0,1,0.595024876,0.244253404,0,1,0,1,0,0,0,0,1,0,1
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.052736318,0.196763213,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.014925373,0.000109624,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,0.985915493,0,0,1,1,0,0,1,1,1,0.380099502,0.457714055,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0.169014085,1,1,0,0,0,0,0,1,1,0.673631841,0.138108701,0,1,0,1,0,0,0,0,1,0,0
1,0,1,1,0.338028169,0,0,1,1,1,0,1,1,1,0.401492537,0.171226633,1,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0.929577465,1,0,0,0,0,1,0,0,0,0.321393035,0.374024925,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.171144279,0.001921302,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0.014084507,1,0,0,0,0,0,0,0,0,0.259701493,0.007206324,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0.591549296,1,1,0,0,0,0,0,0,1,0.074129353,0.134941149,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0.309859155,1,0,1,0,0,0,0,0,1,0.564676617,0.203057928,0,1,0,1,0,0,1,0,0,0,0
1,0,1,1,0.887323944,1,0,0,0,0,0,0,0,0,0.019402985,0.145274637,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0.788732394,1,0,0,0,0,0,0,0,1,0.013432836,0.132904454,0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,0,1,0,0,0,0,0,0,0,1,0.519402985,0.005960074,0,1,0,1,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.694527363,0.739308793,1,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0.098591549,1,1,1,0,0,1,0,1,0,0.526368159,0.062872144,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0.845070423,1,1,0,1,0,0,1,1,1,0.823880597,0.68687399,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0.887323944,1,1,1,1,0,0,0,0,1,0.65721393,0.60815255,0,1,0,0,1,0,0,1,0,0,0
0,1,1,0,0.985915493,1,1,0,0,0,0,0,0,0,0.056716418,0.200484653,0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,0.901408451,1,1,1,1,0,1,1,0,1,0.8039801,0.738276021,0,1,0,0,0,1,0,1,0,0,0
0,0,0,0,0.028169014,1,0,0,0,0,0,0,0,0,0.013432836,0.004909993,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.272636816,0.003098315,1,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0.408450704,1,0,0,1,1,0,1,0,0,0.460199005,0.220534272,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0.197183099,1,0,0,1,1,1,0,1,1,0.509950249,0.121463189,1,0,0,1,0,0,0,0,0,1,0
1,0,1,1,0.098591549,1,0,0,0,0,1,1,1,1,0.500497512,0.062952919,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0.084507042,1,1,0,0,0,0,1,1,0,0.763681592,0.073471036,0,1,0,1,0,0,0,0,0,1,1
1,0,1,1,0.971830986,1,1,1,1,1,0,1,1,1,0.894527363,0.912964459,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0.85915493,1,0,1,1,1,1,1,1,0,0.675124378,0.599636511,1,0,0,0,0,1,0,0,1,0,0
1,0,1,1,0.070422535,1,0,0,0,0,0,0,0,0,0.014427861,0.010927764,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,0.183098592,1,0,0,0,0,0,0,1,1,0.623383085,0.13085622,0,1,0,1,0,0,1,0,0,0,0
1,0,0,0,0.295774648,1,1,0,0,0,0,1,0,1,0.655721393,0.208071775,0,1,0,1,0,0,1,0,0,0,0
0,0,1,1,0.295774648,1,0,0,0,0,0,0,0,0,0.018905473,0.04628433,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0.211267606,1,0,1,0,1,0,1,0,0,0.457711443,0.115993538,1,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.126760563,1,1,0,0,0,0,0,0,0,0.074129353,0.026863605,0,0,1,0,0,1,1,0,0,0,0
1,0,0,1,0.169014085,1,0,1,1,0,0,0,0,1,0.375621891,0.086054697,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0.267605634,1,1,1,0,0,0,0,0,0,0.638308458,0.181577429,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.511940299,0.013431802,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0.732394366,1,1,0,1,1,1,0,1,1,0.553731343,0.454586891,1,0,0,0,0,1,1,0,0,0,0
1,0,1,1,0.14084507,1,0,0,0,0,0,0,0,0,0.023383085,0.02482114,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0.957746479,1,0,0,0,0,0,0,0,0,0.01641791,0.155163859,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0.042253521,1,0,0,0,0,0,0,0,1,0.523880597,0.029333026,0,1,0,1,0,0,1,0,0,0,1
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.704477612,0.719553427,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0.802816901,0,0,0,1,1,0,0,1,1,0.269154229,0.303761828,1,0,0,1,0,0,0,0,1,0,1
1,0,1,1,0.211267606,1,0,0,0,0,0,0,0,0,0.021393035,0.034918071,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0.591549296,1,0,1,0,1,1,0,0,1,0.656716418,0.406237018,0,1,0,0,1,0,1,0,0,0,0
1,0,1,0,0.014084507,1,1,0,0,1,1,1,1,1,0.85721393,0.025848142,0,1,0,1,0,0,0,0,1,0,1
0,0,1,0,0.183098592,1,0,0,1,1,1,1,1,0,0.633830846,0.134196861,1,0,0,0,0,1,0,0,0,1,0
1,0,1,0,0.732394366,1,0,0,0,1,0,1,1,1,0.762189055,0.57482114,0,1,0,0,1,0,1,0,0,0,1
1,0,0,0,0.436619718,1,0,0,0,0,0,0,0,0,0.022885572,0.073361412,0,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0.464788732,1,1,0,0,0,0,0,0,0,0.064179104,0.087860605,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0,0.197183099,1,1,0,0,0,0,0,0,1,0.55920398,0.130036926,0,1,0,1,0,0,0,0,0,1,1
1,1,0,0,0.084507042,1,0,1,0,0,0,0,0,0,0.579104478,0.055942765,0,1,0,1,0,0,1,0,0,0,1
1,0,1,1,0.197183099,1,1,0,1,1,0,1,1,1,0.866666667,0.177757904,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,0.845070423,1,0,0,0,0,0,0,0,1,0.022885572,0.142303254,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11641791,0.001286637,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.269154229,0.003057928,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.098591549,1,1,0,0,0,0,0,1,0,0.65920398,0.0742961,0,1,0,1,0,0,1,0,0,0,1
0,0,1,1,0.450704225,1,0,1,0,1,0,1,1,0,0.562189055,0.280925456,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0.169014085,1,0,0,1,1,0,0,0,1,0.606965174,0.126107778,0,1,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.065174129,0.000692361,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0.267605634,1,0,0,1,0,0,0,0,1,0.333830846,0.115976229,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.028169014,0,0,0,0,0,1,0,0,0,0.120895522,0.007310178,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0.169014085,1,0,0,0,0,0,0,0,0,0.013930348,0.026078929,0,0,1,0,1,0,0,0,1,0,0
1,0,1,0,0.549295775,1,1,0,1,0,0,0,0,0,0.38159204,0.272363259,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0.591549296,1,1,1,0,0,1,0,1,1,0.533830846,0.36401454,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0.070422535,1,0,0,1,1,0,0,1,1,0.723880597,0.059104547,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.957746479,1,0,0,0,0,0,0,0,0,0.014925373,0.156542811,0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,0,1,1,0,0.909950249,0.935898915,0,1,0,0,0,1,0,1,0,0,0
0,0,1,1,0.816901408,1,0,0,0,0,0,0,0,0,0.010447761,0.13546042,0,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0.267605634,1,0,1,1,0,1,1,0,1,0.779104478,0.217268636,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,0.323943662,1,1,0,0,0,0,0,0,1,0.058208955,0.065612739,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0.816901408,1,1,0,1,1,1,1,1,1,0.926368159,0.750167321,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.935323383,0.925784676,0,1,0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.024875622,0.000225017,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0.366197183,1,0,1,0,0,1,1,1,1,0.832338308,0.307217863,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0.183098592,1,0,0,1,0,1,0,0,1,0.614925373,0.126182783,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,0.985915493,1,1,1,0,1,0,1,1,0,0.868656716,0.852377106,0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0.169014085,1,0,0,0,0,0,1,0,1,0.597512438,0.117141703,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0.605633803,1,0,0,0,0,0,0,0,0,0.503482587,0.339274175,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,0.450704225,1,0,0,1,0,1,0,0,1,0.613930348,0.307644819,0,1,0,0,1,0,1,0,0,0,0
0,0,1,1,1,0,0,1,1,1,1,0,1,1,0.370149254,0.480083083,1,0,0,0,0,1,0,1,0,0,0
